Buffer,Catalase(U),Time(h),Lights,HOOH(nM),OriSource
Control,0,0,Yes,262.495,Morris_2013fig4
Control,0.05,0,Yes,5.068397,Morris_2013fig4
Control,0,4,Yes,249.9776,Morris_2013fig4
Control,0.05,4,Yes,5.301352,Morris_2013fig4
Control,0,8,Yes,259.8929,Morris_2013fig4
Control,0.05,8,Yes,15.33535,Morris_2013fig4
Control,0,12,Yes,267.3941,Morris_2013fig4
Control,0.05,12,Yes,28.58439,Morris_2013fig4
Control,0,16,Yes,282.4847,Morris_2013fig4
Control,0.05,16,Yes,27.70041,Morris_2013fig4
Control,0,20,No,243.1982,Morris_2013fig4
Control,0.05,20,No,29.10305,Morris_2013fig4
Control,0,24.5,No,254.1543,Morris_2013fig4
Control,0.05,24.5,No,16.23228,Morris_2013fig4
Control,0,28,No,283.2235,Morris_2013fig4
Control,0.05,28,No,49.30879,Morris_2013fig4
Control,0,31.75,No,301.5713,Morris_2013fig4
Control,0.05,31.75,No,55.76145,Morris_2013fig4
Control,0,35.8,Yes,326.0602,Morris_2013fig4
Control,0.05,35.8,Yes,81.08844,Morris_2013fig4
Control,0,44.5,Yes,319.7625,Morris_2013fig4
Control,0.05,44.5,Yes,93.5527,Morris_2013fig4
Control,0,49,No,245.8416,Morris_2013fig4
Control,0.05,49,No,72.44557,Morris_2013fig4
Control,0,53,No,369.8583,Morris_2013fig4
Control,0.05,53,No,125.6526,Morris_2013fig4
Control,0,55.5,No,364.3361,Morris_2013fig4
Control,0.05,55.5,No,116.5887,Morris_2013fig4
HEPES,0,0,Yes,246.4011,Morris_2013fig4
HEPES,0.05,0,Yes,3.926351,Morris_2013fig4
HEPES,0.1,0,Yes,2.978347,Morris_2013fig4
HEPES,0.25,0,Yes,-8.02948,Morris_2013fig4
HEPES,0.5,0,Yes,-17.7805,Morris_2013fig4
HEPES,1,0,Yes,-33.0067,Morris_2013fig4
HEPES,0,4,Yes,603.2572,Morris_2013fig4
HEPES,0.05,4,Yes,398.0504,Morris_2013fig4
HEPES,0.1,4,Yes,257.7307,Morris_2013fig4
HEPES,0.25,4,Yes,140.3487,Morris_2013fig4
HEPES,0.5,4,Yes,58.50943,Morris_2013fig4
HEPES,1,4,Yes,7.881115,Morris_2013fig4
HEPES,0,8,Yes,1373.528,Morris_2013fig4
HEPES,0.05,8,Yes,1025.643,Morris_2013fig4
HEPES,0.1,8,Yes,458.7453,Morris_2013fig4
HEPES,0.25,8,Yes,261.8344,Morris_2013fig4
HEPES,0.5,8,Yes,131.2834,Morris_2013fig4
HEPES,1,8,Yes,56.67783,Morris_2013fig4
HEPES,0,12,Yes,1864.544,Morris_2013fig4
HEPES,0.05,12,Yes,1269.573,Morris_2013fig4
HEPES,0.1,12,Yes,947.5328,Morris_2013fig4
HEPES,0.25,12,Yes,418.1907,Morris_2013fig4
HEPES,0.5,12,Yes,223.7295,Morris_2013fig4
HEPES,1,12,Yes,129.1906,Morris_2013fig4
HEPES,0,16,Yes,2119.019,Morris_2013fig4
HEPES,0.05,16,Yes,1513.427,Morris_2013fig4
HEPES,0.1,16,Yes,1245.732,Morris_2013fig4
HEPES,0.25,16,Yes,434.4431,Morris_2013fig4
HEPES,0.5,16,Yes,226.6346,Morris_2013fig4
HEPES,1,16,Yes,141.4388,Morris_2013fig4
HEPES,0,20,No,2876.084,Morris_2013fig4
HEPES,0.05,20,No,1879.975,Morris_2013fig4
HEPES,0.1,20,No,696.9305,Morris_2013fig4
HEPES,0.25,20,No,339.2688,Morris_2013fig4
HEPES,0.5,20,No,102.3326,Morris_2013fig4
HEPES,1,20,No,6.352952,Morris_2013fig4
HEPES,0,24.5,No,2108.508,Morris_2013fig4
HEPES,0.05,24.5,No,1242.775,Morris_2013fig4
HEPES,0.1,24.5,No,390.8441,Morris_2013fig4
HEPES,0.25,24.5,No,128.0586,Morris_2013fig4
HEPES,0.5,24.5,No,-3.80403,Morris_2013fig4
HEPES,1,24.5,No,-30.0474,Morris_2013fig4
HEPES,0,28,No,1946.954,Morris_2013fig4
HEPES,0.05,28,No,779.1896,Morris_2013fig4
HEPES,0.1,28,No,341.4345,Morris_2013fig4
HEPES,0.25,28,No,94.35614,Morris_2013fig4
HEPES,0.5,28,No,7.834921,Morris_2013fig4
HEPES,1,28,No,-11.0505,Morris_2013fig4
HEPES,0,31.75,No,1984.363,Morris_2013fig4
HEPES,0.05,31.75,No,620.4356,Morris_2013fig4
HEPES,0.1,31.75,No,301.0844,Morris_2013fig4
HEPES,0.25,31.75,No,65.64929,Morris_2013fig4
HEPES,0.5,31.75,No,4.637179,Morris_2013fig4
HEPES,1,31.75,No,-11.8425,Morris_2013fig4
HEPES,0,35.8,Yes,2888.413,Morris_2013fig4
HEPES,0.05,35.8,Yes,1352.618,Morris_2013fig4
HEPES,0.1,35.8,Yes,698.8712,Morris_2013fig4
HEPES,0.25,35.8,Yes,552.0655,Morris_2013fig4
HEPES,0.5,35.8,Yes,457.6733,Morris_2013fig4
HEPES,1,35.8,Yes,407.1222,Morris_2013fig4
HEPES,0,44.5,Yes,3522.331,Morris_2013fig4
HEPES,0.05,44.5,Yes,2427.001,Morris_2013fig4
HEPES,0.1,44.5,Yes,1668.23,Morris_2013fig4
HEPES,0.25,44.5,Yes,1504.083,Morris_2013fig4
HEPES,0.5,44.5,Yes,1012.216,Morris_2013fig4
HEPES,1,44.5,Yes,833.8001,Morris_2013fig4
HEPES,0,49,No,2849.893,Morris_2013fig4
HEPES,0.05,49,No,1972.012,Morris_2013fig4
HEPES,0.1,49,No,1282.014,Morris_2013fig4
HEPES,0.25,49,No,1006.479,Morris_2013fig4
HEPES,0.5,49,No,666.171,Morris_2013fig4
HEPES,1,49,No,470.5587,Morris_2013fig4
HEPES,0,53,No,3791.615,Morris_2013fig4
HEPES,0.05,53,No,2135.641,Morris_2013fig4
HEPES,0.1,53,No,1634.184,Morris_2013fig4
HEPES,0.25,53,No,1181.151,Morris_2013fig4
HEPES,0.5,53,No,704.4694,Morris_2013fig4
HEPES,1,53,No,432.699,Morris_2013fig4
HEPES,0,55.5,No,3870.055,Morris_2013fig4
HEPES,0.05,55.5,No,2603.172,Morris_2013fig4
HEPES,0.1,55.5,No,2073.43,Morris_2013fig4
HEPES,0.25,55.5,No,1450.93,Morris_2013fig4
HEPES,0.5,55.5,No,1004.987,Morris_2013fig4
HEPES,1,55.5,No,656.622,Morris_2013fig4
TAPS,0,0,Yes,203.4887,Morris_2013fig4
TAPS,0.1,0,Yes,-13.2732,Morris_2013fig4
TAPS,0,4,Yes,240.201,Morris_2013fig4
TAPS,0.1,4,Yes,33.10542,Morris_2013fig4
TAPS,0,8,Yes,291.3717,Morris_2013fig4
TAPS,0.1,8,Yes,84.03743,Morris_2013fig4
TAPS,0,12,Yes,331.986,Morris_2013fig4
TAPS,0.1,12,Yes,127.9088,Morris_2013fig4
TAPS,0,16,Yes,350.709,Morris_2013fig4
TAPS,0.1,16,Yes,136.5452,Morris_2013fig4
TAPS,0,20,No,420.2524,Morris_2013fig4
TAPS,0.1,20,No,180.0753,Morris_2013fig4
TAPS,0,24.5,No,292.2729,Morris_2013fig4
TAPS,0.1,24.5,No,80.94968,Morris_2013fig4
TAPS,0,28,No,305.6964,Morris_2013fig4
TAPS,0.1,28,No,100.2805,Morris_2013fig4
TAPS,0,31.75,No,310.9413,Morris_2013fig4
TAPS,0.1,31.75,No,95.67572,Morris_2013fig4
TAPS,0,35.8,Yes,370.3745,Morris_2013fig4
TAPS,0.1,35.8,Yes,177.2657,Morris_2013fig4
TAPS,0,44.5,Yes,379.2957,Morris_2013fig4
TAPS,0.1,44.5,Yes,254.6233,Morris_2013fig4
TAPS,0,49,No,274.3655,Morris_2013fig4
TAPS,0.1,49,No,174.742,Morris_2013fig4
TAPS,0,53,No,396.7432,Morris_2013fig4
TAPS,0.1,53,No,260.5512,Morris_2013fig4
TAPS,0,55.5,No,366.76,Morris_2013fig4
TAPS,0.1,55.5,No,230.5317,Morris_2013fig4