Buffer,Time,organism,rep1,rep2,rep3,rep4,rep5,rep6,OriSource
DIPSO,0,H,106.2837644,125.1814021,113.3154436,110.2390839,128.9169817,147.8146194,Morris_2013_SI1a
DIPSO,3,H,-20.02529156,-11.16559442,57.65158807,-56.49427749,45.7012989,2.845089443,Morris_2013_SI1a
DIPSO,6,H,172.3374086,28.4002258,-10.41180347,177.2166351,7.774404531,-1.984048541,Morris_2013_SI1a
DIPSO,9,H,-5.798942399,82.35429184,230.0395804,-24.87972903,71.28743559,212.1036409,Morris_2013_SI1a
DIPSO,12,H,247.2410458,-81.97270703,-17.13711134,255.4241793,-68.12432737,-42.31598345,Morris_2013_SI1a
DIPSO,15,H,7.095470608,137.1237726,304.303018,-9.993963365,123.7494329,286.6563198,Morris_2013_SI1a
MOPS,0,H,142.54086,95.51650572,149.3527992,97.71390545,91.12170626,166.7122571,Morris_2013_SI1a
MOPS,3,H,105.0406658,94.7386924,62.39049585,70.63207459,108.5433368,78.04949545,Morris_2013_SI1a
MOPS,6,H,140.8442191,97.15296335,120.2183979,133.7471624,89.61234052,93.60443496,Morris_2013_SI1a
MOPS,9,H,171.6523733,224.6969601,146.0841192,213.6301039,233.0925062,140.3598832,Morris_2013_SI1a
MOPS,12,H,164.7802397,389.5016733,254.7947075,198.771717,347.9565343,247.2410458,Morris_2013_SI1a
MOPS,15,H,-27.26915205,103.5021688,114.2759424,-26.7118879,104.9882065,110.9323575,Morris_2013_SI1a
HEPES,0,H,193.0810538,349.0964348,229.5578894,219.6695906,203.1890926,0,Morris_2013_SI1a
HEPES,3,H,6.141720939,7.996076156,26.12754939,7.171918282,44.46506208,12.11686553,Morris_2013_SI1a
HEPES,6,H,37.71511282,57.01023594,110.4599448,43.70325448,55.23597174,70.76078345,Morris_2013_SI1a
HEPES,9,H,135.0172629,153.3348181,123.9504067,110.2122403,137.3069573,133.4908,Morris_2013_SI1a
HEPES,12,H,-114.7052408,-64.34749655,110.6456646,-128.5536204,-58.05277852,99.94464398,Morris_2013_SI1a
HEPES,15,H,-9.06518978,16.56896118,-26.15462375,-16.49537846,20.28405552,-26.52613319,Morris_2013_SI1a
TAPS,0,H,78.81626776,148.9133192,92.00066615,75.30042818,-187.2888398,87.82560666,Morris_2013_SI1a
TAPS,3,H,-23.32192306,-18.17093635,11.29270765,-18.99509422,-24.97023881,-12.6078707,Morris_2013_SI1a
TAPS,6,H,23.07743321,15.09324433,25.07348043,26.18239555,26.40417858,135.5214266,Morris_2013_SI1a
TAPS,9,H,41.13979271,55.25957482,70.52420413,33.88909379,36.17878819,96.09245821,Morris_2013_SI1a
TAPS,12,H,13.07753519,322.7776622,72.87735646,150.93186,509.7307876,365.5817448,Morris_2013_SI1a
TAPS,15,H,80.65433858,2.080093246,99.04405557,82.32613103,0.779810226,102.5733952,Morris_2013_SI1a