Time (day),HOOH (micromolar),treatment (milliMolar)
-0.069110577,0.659340659,10.0
1.981885302,3.186813187,10.0
4.980254121,6.978021978,10.0
7.049708104,11.86813187,10.0
16.13109547,14.28571429,10.0
21.11950549,12.8021978,10.0
25.20776099,16.0989011,10.0
-0.069110577,0.659340659,1.0
0.949948489,1.098901099,1.0
2.991071429,2.362637363,1.0
6.048677885,3.736263736,1.0
10.04764766,5.604395604,1.0
20.07469093,9.065934066,1.0
25.16397665,10.49450549,1.0
-0.066535027,0.989010989,0.1
0.947802198,0.824175824,0.1
2.982057005,1.208791209,0.1
5.952953297,1.483516484,0.1
10.01717033,1.703296703,0.1
20.10001717,2.307692308,0.1
25.10259272,2.637362637,0.1
-0.069110577,0.659340659,0.0
1.961710165,0.604395604,0.0
4.931318681,0.714285714,0.0
6.959993132,0.384615385,0.0
16.02506868,0.714285714,0.0
21.02506868,0.714285714,0.0
25.08713942,0.659340659,0.0