Buffer,Experiment.Block,Concentration,Seawater.Percent,Light,Time,Replicate,Tech.Rep.,HOOH,OriSource,,,,,,,,,,,,
Control,C,0,100,0,0,1,1,295.7116485,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,15,0,1,1,235.0182358,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,30,0,1,1,283.2477479,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,65,0,1,1,262.0273987,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,150,0,1,1,255.5832951,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,265,0,1,1,266.3315577,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,0,0,1,1,364.1137153,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,15,0,1,1,303.8036013,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,30,0,1,1,281.7036738,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,65,0,1,1,278.0732165,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,150,0,1,1,256.1557324,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,265,0,1,1,245.1882029,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,0,0,2,1,320.4285516,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,15,0,2,1,325.5896927,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,30,0,2,1,288.4850466,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,65,0,2,1,269.0497977,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,150,0,2,1,273.7288864,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,265,0,2,1,245.357256,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,0,0,2,1,274.2385564,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,15,0,2,1,262.9178566,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,30,0,2,1,314.777826,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,65,0,2,1,323.1183371,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,150,0,2,1,278.8515303,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,265,0,2,1,278.4180179,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,0,0,3,1,269.4339332,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,15,0,3,1,257.4269782,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,30,0,3,1,289.4968546,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,65,0,3,1,306.8432097,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,150,0,3,1,1170.020836,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,265,0,3,1,271.6006584,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,0,0,3,1,290.4450584,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,15,0,3,1,282.5255062,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,30,0,3,1,290.9589129,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,65,0,3,1,276.6262223,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,150,0,3,1,268.3819543,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,265,0,3,1,275.4771633,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,0,1,1,1,471.8024038,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,15,1,1,1,456.4888738,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,30,1,1,1,436.0017621,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,65,1,1,1,449.4223319,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,150,1,1,1,388.4832807,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,265,1,1,1,364.3011175,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,0,1,1,1,438.0390935,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,15,1,1,1,474.1420653,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,30,1,1,1,678.7133996,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,65,1,1,1,651.6319245,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,150,1,1,1,1271.921608,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,265,1,1,1,2088.060061,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,0,1,2,1,335.2774262,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,15,1,2,1,559.6072227,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,30,1,2,1,443.4207394,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,65,1,2,1,438.0017268,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,150,1,2,1,428.3432987,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,265,1,2,1,398.9026296,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,0,1,2,1,346.8721259,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,15,1,2,1,357.8757533,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,30,1,2,1,710.9472253,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,65,1,2,1,773.0480394,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,150,1,2,1,1156.435749,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,265,1,2,1,2103.371044,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,0,1,3,1,350.9408439,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,15,1,3,1,452.6035921,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,30,1,3,1,431.7326231,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,65,1,3,1,394.8322132,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,150,1,3,1,473.8414336,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,265,1,3,1,455.6489736,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,0,1,3,1,375.2920062,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,15,1,3,1,381.8303196,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,30,1,3,1,720.386549,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,65,1,3,1,743.0961268,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,150,1,3,1,925.3485346,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,265,1,3,1,2020.366989,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,0,3,1,1,601.6742019,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,15,3,1,1,309.1333381,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,30,3,1,1,472.8244816,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,65,3,1,1,399.6105863,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,150,3,1,1,446.0344121,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,265,3,1,1,458.3875718,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,0,3,1,1,316.9631867,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,15,3,1,1,394.1180657,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,30,3,1,1,1370.639102,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,65,3,1,1,1573.393292,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,150,3,1,1,4216.336032,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,265,3,1,1,6301.974365,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,0,3,2,1,384.5151754,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,15,3,2,1,791.4006944,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,30,3,2,1,476.7724813,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,65,3,2,1,378.2077974,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,150,3,2,1,436.5928896,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,265,3,2,1,481.1675,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,0,3,2,1,300.3392916,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,15,3,2,1,350.0065109,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,30,3,2,1,1563.238142,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,65,3,2,1,1909.755048,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,150,3,2,1,3459.088844,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,265,3,2,1,6359.845285,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,0,3,3,1,320.1574683,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,15,3,3,1,677.9991892,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,30,3,3,1,457.283054,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,65,3,3,1,322.109919,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,150,3,3,1,469.211245,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,265,3,3,1,499.7779235,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,0,3,3,1,305.7365951,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,15,3,3,1,322.7112899,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,30,3,3,1,1696.237322,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,65,3,3,1,1769.469258,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,150,3,3,1,3817.668246,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,265,3,3,1,6003.227354,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,0,8,1,1,31.69884372,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,15,8,1,1,306.0313696,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,30,8,1,1,61.42974979,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,65,8,1,1,41.01045599,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,150,8,1,1,264.3979083,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,265,8,1,1,335.1104299,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,0,8,1,1,66.09788592,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,15,8,1,1,25.98101402,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,30,8,1,1,1683.060013,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,65,8,1,1,779.8706134,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,150,8,1,1,6679.152636,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,265,8,1,1,9417.367523,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,0,8,2,1,-14.97347554,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,15,8,2,1,802.8931802,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,30,8,2,1,236.9143494,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,65,8,2,1,86.72514564,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,150,8,2,1,167.5540172,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,265,8,2,1,-18.66261006,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,0,8,2,1,1.068670018,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,15,8,2,1,137.8716091,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,30,8,2,1,1764.468394,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,65,8,2,1,2455.654215,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,150,8,2,1,44.49655659,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,265,8,2,1,9988.178068,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,0,8,3,1,34.54131858,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,15,8,3,1,184.8751942,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,30,8,3,1,-80.48767125,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,65,8,3,1,-85.41720327,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,150,8,3,1,5696.36572,Morris_2013_f1c,,,,,,,,,,,,
Control,C,0,100,265,8,3,1,252.843881,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,0,8,3,1,59.45530658,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,15,8,3,1,-24.38948176,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,30,8,3,1,2250.803677,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,65,8,3,1,1893.328351,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,150,8,3,1,5548.640871,Morris_2013_f1c,,,,,,,,,,,,
HEPES,C,10,100,265,8,3,1,9319.954808,Morris_2013_f1c,,,,,,,,,,,,